M	T	Y	N	P	S	B
1	0	0	0	0	0	0
0	1	0	0	0	0	0
0	0	1	0	1	1	1
0	0	0	1	0	0	0
0	0	1	0	1	1	1
0	0	1	0	1	1	1
0	0	1	0	1	1	1

M	T	Y	N	P	S	B
1	0	0	0	0	0	0
0	1	0	0	0	0	0
0	0	1	0	1	1	1
0	0	0	1	0	0	0
0	0	1	0	1	1	1
0	0	1	0	1	1	1
0	0	1	0	1	1	1

M	T	Y	N	P	S	B
1	0	0	0	0	0	0
0	1	0	0	0	0	0
0	0	1	1	1	1	1
0	0	1	1	1	1	1
0	0	1	1	1	1	1
0	0	1	1	1	1	1
0	0	1	1	1	1	1

M	T	Y	N	P	S	B
1	1	1	0	1	1	1
1	1	1	0	1	1	1
1	1	1	0	1	1	1
0	0	0	1	0	0	0
1	1	1	0	1	1	1
1	1	1	0	1	1	1
1	1	1	0	1	1	1

M	T	Y	N	P	S	B
1	1	1	0	1	1	1
1	1	1	0	1	1	1
1	1	1	0	1	1	1
0	0	0	1	0	0	0
1	1	1	0	1	1	1
1	1	1	0	1	1	1
1	1	1	0	1	1	1

END
